id_regimen;Regimen;id_area_Area
sub;Subsidiado;1
sub;Subsidiado;2
sub;Subsidiado;3
sub;Subsidiado;4
sub;Subsidiado;5
sub;Subsidiado;6
sub;Subsidiado;7
sub;Subsidiado;8
sub;Subsidiado;9
sub;Subsidiado;10
sub;Subsidiado;11
sub;Subsidiado;12
sub;Subsidiado;13
sub;Subsidiado;14
sub;Subsidiado;15
sub;Subsidiado;16
sub;Subsidiado;17
sub;Subsidiado;18
sub;Subsidiado;19
sub;Subsidiado;20
sub;Subsidiado;21
sub;Subsidiado;22
con;Contributivo;1
con;Contributivo;2
con;Contributivo;3
con;Contributivo;4
con;Contributivo;5
con;Contributivo;6
con;Contributivo;7
con;Contributivo;8
con;Contributivo;9
con;Contributivo;10
con;Contributivo;11
con;Contributivo;12
con;Contributivo;13
con;Contributivo;14
con;Contributivo;15
con;Contributivo;16
con;Contributivo;17
con;Contributivo;18
con;Contributivo;19
con;Contributivo;20
con;Contributivo;21
con;Contributivo;22
esp;Especial;1
esp;Especial;2
esp;Especial;3
esp;Especial;4
esp;Especial;5
esp;Especial;6
esp;Especial;7
esp;Especial;8
esp;Especial;9
esp;Especial;10
esp;Especial;11
esp;Especial;12
esp;Especial;13
esp;Especial;14
esp;Especial;15
esp;Especial;16
esp;Especial;17
esp;Especial;18
esp;Especial;19
esp;Especial;20
esp;Especial;21
esp;Especial;22
nas;No asegurado;1
nas;No asegurado;2
nas;No asegurado;3
nas;No asegurado;4
nas;No asegurado;5
nas;No asegurado;6
nas;No asegurado;7
nas;No asegurado;8
nas;No asegurado;9
nas;No asegurado;10
nas;No asegurado;11
nas;No asegurado;12
nas;No asegurado;13
nas;No asegurado;14
nas;No asegurado;15
nas;No asegurado;16
nas;No asegurado;17
nas;No asegurado;18
nas;No asegurado;19
nas;No asegurado;20
nas;No asegurado;21
nas;No asegurado;22
